CVE_ENT,CVE_MUN,CVE_LOC,AGEB,MANZANA
09,003,0001,1660,030
09,003,0001,0183,025
09,006,0001,0039,003
09,007,0001,4293,044
09,003,0001,0709,001
09,015,0001,0339,012
09,014,0001,0702,014
09,015,0001,1036,006
09,003,0001,0107,053
09,014,0001,090A,018
09,014,0001,0115,011
09,007,0001,2691,023
09,014,0001,0469,004
09,002,0001,0472,013
09,014,0001,0276,013
09,015,0001,1125,012
09,014,0001,0736,008
09,015,0001,017A,003
09,012,0001,1119,050
09,013,0001,0334,018
09,007,0001,198A,016
09,007,0001,0638,004
09,017,0001,0051,023
09,016,0001,068A,025
09,017,0001,0579,012
09,015,0001,0644,004
09,016,0001,0660,011
09,015,0001,1074,010
09,015,0001,0644,025
09,015,0001,0644,014
09,013,0001,0828,022
09,017,0001,0367,001
09,003,0001,0022,019
09,016,0001,0177,025
09,005,0001,1434,005
09,015,0001,0998,017
09,016,0001,0213,004
09,015,0001,0856,008
09,010,0001,0972,007
09,015,0001,0682,015
09,005,0001,1330,012
09,010,0001,092A,023
09,015,0001,106A,010
09,010,0001,1190,004
09,016,0001,1160,024
09,014,0001,069A,006
09,003,0001,0060,002
09,015,0001,1534,005
09,015,0001,095A,005
09,012,0001,0426,001
09,007,0001,0939,021
09,009,0001,0026,005
09,015,0001,0536,008
09,010,0001,0968,014
09,010,0001,1190,010
09,014,0001,0882,013
09,015,0001,1483,008
09,015,0001,0945,019
09,016,0001,1156,001
09,014,0001,0308,003
09,008,0001,0086,009
09,015,0001,0127,008
09,015,0001,0748,020
09,015,0001,1356,002
09,016,0001,1226,003
09,016,0001,1175,016
09,016,0001,0660,016
09,015,0001,0574,003
09,003,0001,1444,026
09,015,0001,0644,003
09,015,0001,0589,001
09,010,0001,1190,017
09,011,0001,0132,031
09,007,0001,2475,022
09,015,0001,0470,014
09,014,0001,0717,029
09,014,0001,0914,007
09,007,0001,0977,011
09,014,0001,0789,008
09,015,0001,1233,022
09,016,0001,0603,012
09,015,0001,1178,009
09,014,0001,0878,010
09,014,0001,0990,017
09,007,0001,1566,059
09,014,0001,0257,023
09,015,0001,0165,035
09,010,0001,181A,023
09,016,0001,050A,008
09,015,0001,0998,009
09,016,0001,1264,001
09,015,0001,1017,020
09,003,0001,0501,031
09,017,0001,0475,004
09,015,0001,1233,022
09,015,0001,1233,022
09,016,0001,0247,017
09,017,0001,0210,004
09,015,0001,0875,016
09,003,0001,1317,020
09,003,0001,0107,053
09,015,0001,1233,019
09,014,0001,0030,024
09,015,0001,0786,010
09,015,0001,1182,010
09,007,0001,5446,024
09,015,0001,1125,009
09,014,0001,0740,003
09,015,0001,0714,020
09,014,0001,0204,011
09,005,0001,3445,005
09,015,0001,1036,014
09,013,0001,0226,030
09,017,0001,1007,006
09,007,0001,2475,006
09,007,0001,2475,005
09,007,0001,2475,006
09,007,0001,2475,006
